=== podejscie 1, 2026-08-14 17:29:52 CEST ===
[287/480] F9-R2 b=12 q=32 NO_R1_FACTOR p99=3403107 ns
[288/480] F9-R2 b=12 q=32 NO_R1_NO_R2 p99=3496253 ns
[289/480] F9-R2 b=13 q=1 NO_R1_FACTOR p99=172998 ns
[290/480] F9-R2 b=13 q=1 NO_R2_CANON p99=177295 ns
[291/480] F9-R2 b=13 q=1 DEFAULT p99=173238 ns
[292/480] F9-R2 b=13 q=1 NO_R1_NO_R2 p99=175628 ns
[293/480] F9-R2 b=13 q=2 NO_R2_CANON p99=341459 ns
[294/480] F9-R2 b=13 q=2 NO_R1_NO_R2 p99=359809 ns
[295/480] F9-R2 b=13 q=2 NO_R1_FACTOR p99=352773 ns
[296/480] F9-R2 b=13 q=2 DEFAULT p99=339458 ns
[297/480] F9-R2 b=13 q=4 DEFAULT p99=528160 ns
[298/480] F9-R2 b=13 q=4 NO_R2_CANON p99=648676 ns
[299/480] F9-R2 b=13 q=4 NO_R1_NO_R2 p99=632677 ns
[300/480] F9-R2 b=13 q=4 NO_R1_FACTOR p99=506827 ns
[301/480] F9-R2 b=13 q=8 NO_R1_FACTOR p99=1001413 ns
[302/480] F9-R2 b=13 q=8 NO_R2_CANON p99=1034524 ns
[303/480] F9-R2 b=13 q=8 NO_R1_NO_R2 p99=1028006 ns
[304/480] F9-R2 b=13 q=8 DEFAULT p99=962303 ns
[305/480] F9-R2 b=13 q=16 NO_R1_FACTOR p99=1811347 ns
[306/480] F9-R2 b=13 q=16 NO_R1_NO_R2 p99=1854236 ns
[307/480] F9-R2 b=13 q=16 DEFAULT p99=1770607 ns
[308/480] F9-R2 b=13 q=16 NO_R2_CANON p99=1885958 ns
[309/480] F9-R2 b=13 q=32 DEFAULT p99=3449642 ns
[310/480] F9-R2 b=13 q=32 NO_R2_CANON p99=3516419 ns
[311/480] F9-R2 b=13 q=32 NO_R1_NO_R2 p99=3449513 ns
[312/480] F9-R2 b=13 q=32 NO_R1_FACTOR p99=3386514 ns
[313/480] F9-R2 b=14 q=1 NO_R1_FACTOR p99=169238 ns
[314/480] F9-R2 b=14 q=1 NO_R1_NO_R2 p99=165850 ns
[315/480] F9-R2 b=14 q=1 DEFAULT p99=172572 ns
