plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
1677,HC_INT,n0,4/25,1/100,1,0,1,1
1682,HASH,n0,1/5,3/8,3,0,3,3
1682,HASH,n2,4/25,1/5,2,0,2,2
1689,HC_NONINT,n0,1/100,147/1000,16,0,16,16
1691,HC_INT,n0,3/10,2/5,2,0,2,2
1696,HASH,n0,4/25,1/10,2,0,2,2
1703,HC_NONINT,n0,1/3,1,3,0,3,3
1703,HC_NONINT,n2,1,1/3,1,0,1,1
1710,HASH,n0,5/8,1/10,2,0,2,2
1710,HASH,n1,5/8,1/10,2,0,2,2
1717,HC_NONINT,n0,2/5,2/3,3,0,3,3
1717,HC_NONINT,n1,2/3,2/5,2,0,2,2
1719,HC_INT,n1,1/8,1/16,1,0,1,1
1724,HASH,n0,3/10,147/1000,2,0,2,2
1724,HASH,n1,147/1000,3/10,4,0,4,4
1733,HC_INT,n1,1/4,1/4,1,0,1,1
1733,HC_INT,n3,147/1000,1/4,3,0,3,3
1738,HASH,n0,1,3/8,2,0,2,2
1738,HASH,n2,3/8,1,4,0,4,4
1738,HASH,n3,3/8,4/25,2,0,2,2
1745,HC_NONINT,n3,147/1000,1/16,2,0,2,2
1746,HC_SHIFT_UNDER_HASH,n2,1/3,5/8,3,0,3,3
1747,HC_INT,n2,1/5,1/5,1,0,1,1
1752,HASH,n0,3/8,1/8,1,0,1,1
1761,HC_INT,n1,2/5,1/5,1,0,1,1
1766,HASH,n0,2/5,3/10,2,0,2,2
1773,HC_NONINT,n0,5/8,147/1000,2,0,2,2
1777,HC_DEEP,n2,1,1/4,1,0,1,1
1780,HASH,n0,2/3,1/4,2,0,2,2
1780,HASH,n1,1/100,1/4,25,0,25,25
1787,HC_NONINT,n0,2/3,1/2,2,0,2,2
1789,HC_INT,n2,1/100,1/4,25,0,25,25
1794,HASH,n0,1/4,147/1000,2,0,2,2
1801,HC_NONINT,n0,1/10,1/16,2,0,2,2
1802,HC_SHIFT_UNDER_HASH,n0,1/4,2/3,4,0,4,4
1803,HC_INT,n5,1,3/10,2,0,2,2
1808,HASH,n0,1/100,1/4,25,0,25,25
1808,HASH,n1,1/4,1/100,1,0,1,1
1817,HC_INT,n0,1/10,1/4,3,0,3,3
1822,HASH,n0,3/10,1,4,0,4,4
1829,HC_NONINT,n0,1/16,1/10,3,0,3,3
1836,HASH,n0,2/5,147/1000,2,0,2,2
1845,HC_INT,n1,2/5,1/5,1,0,1,1
1850,HASH,n0,1/16,1/2,8,0,8,8
1850,HASH,n2,1/2,1/16,1,0,1,1
1859,HC_INT,n1,3/10,1/100,1,0,1,1
1864,HASH,n0,4/25,1/8,2,0,2,2
1871,HC_NONINT,n0,5/8,1/3,2,0,2,2
1873,HC_INT,n1,1/2,1/2,1,0,1,1
1878,HASH,n0,1/100,1/16,7,0,7,7
1885,HC_NONINT,n1,2/5,2/3,3,0,3,3
1885,HC_NONINT,n3,1/3,2/5,2,0,2,2
1886,HC_SHIFT_UNDER_HASH,n0,2/3,1/4,2,0,2,2
1886,HC_SHIFT_UNDER_HASH,n4,1/4,2/3,4,0,4,4
1892,HASH,n0,1/3,147/1000,2,0,2,2
1906,HASH,n0,5/8,2/5,2,0,2,2
1906,HASH,n1,5/8,2/5,2,0,2,2
1913,HC_NONINT,n0,1/100,4/25,16,0,16,16
1920,HASH,n0,1,1/2,1,0,1,1
1920,HASH,n2,1/2,1,2,0,2,2
1927,HC_NONINT,n0,1/4,1/3,2,0,2,2
1934,HASH,n0,1/10,1/3,4,0,4,4
1941,HC_NONINT,n0,5/8,1/100,2,0,2,2
1943,HC_INT,n0,1/100,1/100,1,0,1,1
1948,HASH,n0,2/5,1/8,2,0,2,2
1948,HASH,n1,2/5,1/8,2,0,2,2
1948,HASH,n2,1/8,2/5,4,0,4,4
1962,HASH,n0,147/1000,1/100,2,0,2,2
1962,HASH,n1,147/1000,1/100,2,0,2,2
1969,HC_NONINT,n0,4/25,1/5,2,0,2,2
1971,HC_INT,n0,1,1/5,1,0,1,1
1976,HASH,n0,4/25,1/100,1,0,1,1
1983,HC_NONINT,n4,147/1000,1/100,2,0,2,2
1990,HASH,n0,5/8,1/8,1,0,1,1
1997,HC_NONINT,n0,147/1000,1/8,2,0,2,2
1998,HC_SHIFT_UNDER_HASH,n1,3/8,1/2,2,0,2,2
1999,HC_INT,n0,1/5,1/100,1,0,1,1
2004,HASH,n0,5/8,1/8,1,0,1,1
2013,HC_INT,n0,5/8,1/4,2,0,2,2
