plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
84,PASS,HC_DEEP,6,n1,PASS,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
84,PASS,HC_DEEP,6,n2,PASS,2/3,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,
84,PASS,HC_DEEP,6,n3,PASS,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
84,PASS,HC_DEEP,6,n4,PASS,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
84,PASS,HC_DEEP,6,n5,PASS,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
85,SHIFT,,2,n0,SHIFT,147/1000,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
85,SHIFT,,2,n1,SHIFT,1/16,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
86,HASH,HC_NONINT,1,n0,HASH,1/5,2,2,2,2,2,2,1,1,1,1,0,1,1,2,1,2
87,ADD,HC_DEEP,5,n0,ADD,1/8,3,3,3,3,3,3,1,1,1,1,0,3,0,3,0,
87,ADD,HC_DEEP,5,n1,ADD,1/8,3,3,3,3,3,3,1,1,1,1,0,3,0,3,0,
87,ADD,HC_DEEP,5,n2,ADD,1/8,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
87,ADD,HC_DEEP,5,n3,ADD,1/8,3,3,5,3,3,4,1,0,1,0,3,3,0,0,0,
87,ADD,HC_DEEP,5,n4,ADD,1/3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
88,SUB,,3,n0,SUB,3/2,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
88,SUB,,3,n1,SUB,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
88,SUB,,3,n2,SUB,7/2,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
89,THETA,HC_DEEP,6,n0,THETA,7/40,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
89,THETA,HC_DEEP,6,n1,THETA,7/20,2,1,1,2,2,2,0,0,0,0,1,2,0,0,-1,
89,THETA,HC_DEEP,6,n2,THETA,21/40,3,1,2,3,2,2,0,0,0,1,1,2,0,0,-1,
89,THETA,HC_DEEP,6,n3,THETA,4/25,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
89,THETA,HC_DEEP,6,n4,THETA,7/20,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
89,THETA,HC_DEEP,6,n5,THETA,14/25,3,2,2,3,2,2,0,0,1,1,1,2,0,1,0,
90,NTHETA,,1,n0,NTHETA,1/2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
91,AGSE,HC_DEEP,6,n0,AGSE,1/4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
91,AGSE,HC_DEEP,6,n1,AGSE,1/16,4,4,5,4,4,4,1,0,1,0,0,4,0,4,0,
91,AGSE,HC_DEEP,6,n2,AGSE,1/4,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,
91,AGSE,HC_DEEP,6,n3,AGSE,3/32,3,3,4,3,3,4,1,0,1,1,3,3,0,0,0,
91,AGSE,HC_DEEP,6,n4,AGSE,1/4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
91,AGSE,HC_DEEP,6,n5,AGSE,1/3,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
92,REDUCE,HC_SINGLE,1,n0,REDUCE,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
93,HC_NONINT,"HC_DEEP,HC_NONINT",6,n0,SHIFT,1/100,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
93,HC_NONINT,"HC_DEEP,HC_NONINT",6,n1,SUB,3/200,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
93,HC_NONINT,"HC_DEEP,HC_NONINT",6,n2,AGSE,3/50,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
93,HC_NONINT,"HC_DEEP,HC_NONINT",6,n3,AGSE,3/50,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
93,HC_NONINT,"HC_DEEP,HC_NONINT",6,n4,HASH,3/500,3,2,3,3,2,3,0,1,1,1,0,1,0,2,1,
