plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
1689,HC_NONINT,n0,1/100,1/16,7,0,7,7
1696,HASH,n0,1/100,1/2,50,0,50,50
1703,HC_NONINT,n0,147/1000,3/10,4,0,4,4
1710,HASH,n0,5/8,1/3,2,0,2,2
1717,HC_NONINT,n1,1/2,3/8,2,0,2,2
1717,HC_NONINT,n2,3/8,1/2,2,0,2,2
1719,HC_INT,n0,5/8,5/8,1,0,1,1
1724,HASH,n0,1/16,3/8,6,0,6,6
1724,HASH,n2,1/16,2/3,12,0,12,12
1731,HC_NONINT,n1,1/4,2/5,3,0,3,3
1738,HASH,n0,147/1000,2/3,6,0,6,6
1745,HC_NONINT,n0,1/8,1,8,0,8,8
1752,HASH,n0,1/8,1/4,2,0,2,2
1752,HASH,n1,1/8,1/4,2,0,2,2
1759,HC_NONINT,n1,147/1000,3/8,4,0,4,4
1766,HASH,n0,1/100,147/1000,16,0,16,16
1773,HC_NONINT,n0,147/1000,2/3,6,0,6,6
1774,HC_SHIFT_UNDER_HASH,n0,5/8,1/10,2,0,2,2
1780,HASH,n0,1/2,1/10,1,0,1,1
1780,HASH,n1,1/10,1/2,5,0,5,5
1780,HASH,n2,1/10,1/2,5,0,5,5
1780,HASH,n4,1/10,1/2,5,0,5,5
1787,HC_NONINT,n0,1/16,1/5,4,0,4,4
1794,HASH,n0,1/100,147/1000,16,0,16,16
1794,HASH,n3,1/100,147/1000,16,0,16,16
1801,HC_NONINT,n0,1/5,3/10,2,0,2,2
1808,HASH,n0,4/25,4/25,1,0,1,1
1808,HASH,n1,4/25,4/25,1,0,1,1
1808,HASH,n3,4/25,4/25,1,0,1,1
1815,HC_NONINT,n1,5/8,1/10,2,0,2,2
1817,HC_INT,n4,1/8,1/2,4,0,4,4
1822,HASH,n0,1/4,5/8,3,0,3,3
1822,HASH,n3,1/4,5/8,3,0,3,3
1829,HC_NONINT,n0,2/3,1/5,2,0,2,2
1830,HC_SHIFT_UNDER_HASH,n1,1/5,1/100,1,0,1,1
1831,HC_INT,n0,1/2,1/8,1,0,1,1
1836,HASH,n0,1/4,1/100,1,0,1,1
1836,HASH,n1,1/100,1/4,25,0,25,25
1843,HC_NONINT,n1,3/10,1/2,3,0,3,3
1845,HC_INT,n0,1/3,1/3,1,0,1,1
1850,HASH,n0,1/8,1/4,2,0,2,2
1857,HC_NONINT,n0,1/16,1/100,2,0,2,2
1864,HASH,n0,1/16,5/8,10,0,10,10
1878,HASH,n0,1/100,5/8,63,0,63,63
1878,HASH,n1,5/8,1/100,2,0,2,2
1892,HASH,n0,1/3,3/10,2,0,2,2
1906,HASH,n0,1,1/100,1,0,1,1
1913,HC_NONINT,n0,1/8,1/10,2,0,2,2
1915,HC_INT,n0,3/10,1/10,1,0,1,1
1920,HASH,n0,2/3,1/3,1,0,1,1
1920,HASH,n1,1/3,2/3,2,0,2,2
1927,HC_NONINT,n0,1/5,1/3,3,0,3,3
1929,HC_INT,n0,1/5,1/100,1,0,1,1
1929,HC_INT,n1,1/100,1/5,20,0,20,20
1934,HASH,n0,147/1000,1/4,3,0,3,3
1948,HASH,n0,2/5,5/8,3,0,3,3
