case,profile,rep,scale,f_phi_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q01,STRUCT_R1,12,6,90,684,0,134165,267942,295275,92693130,53488,199264,391611,406402,422306,20340,32,277589,1335,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6068
W2_Q32,OFF,15,6,90,684,0,2449704,2824071,2992293,1320364475,38212,2513340,2965584,3100858,3157794,20468,158,1576951,3204,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6099
W2_Q32,ALGSTRUCT,15,6,90,684,0,2418111,2704350,2810516,1286325379,38893,2504936,2841986,2945537,2956561,20476,157,2249501,3260,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6103
W2_Q01,STRUCT_R1,14,6,90,684,0,138434,268665,365090,94096587,33743,203927,398275,420115,598755,20340,32,275664,1278,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6063
W2_Q01,STRUCT_R1,15,6,90,684,0,134878,277757,284516,92219903,45274,199465,395353,417107,427695,20336,31,274627,1427,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6064
W2_Q08,STRUCT_R1,4,6,90,684,0,648421,816254,890068,361134474,40606,706683,944354,957636,1008641,20336,60,584681,1666,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6071
W2_Q08,OFF,1,6,90,684,0,610708,885586,969789,369291651,41821,690309,1008372,1033560,1100036,20336,61,468108,2204,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q01,OFF,13,6,90,684,0,141045,333128,348609,99299064,44829,191534,450186,485964,501196,20336,33,202017,1815,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6067
W2_Q32,OFF,2,6,90,684,0,2454491,2826628,3017553,1323571257,34392,2522097,2979248,3077537,3161026,20472,159,1579378,3166,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6097
W2_Q08,STRUCT,15,6,90,684,0,608532,891050,897568,369386292,48223,688413,1017815,1040534,1048422,20336,61,582978,1814,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q08,STRUCT_R1,12,6,90,684,0,650930,836679,927234,361405788,38496,718127,969184,988688,1060392,20336,61,603329,1908,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6075
W2_Q08,OFF,4,6,90,684,0,608458,885550,920845,368699012,38896,688162,1006302,1039220,1050926,20336,61,463088,1927,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6068
W2_Q01,OFF,5,6,90,684,0,141100,326627,372219,97982624,34322,186230,443179,469388,518655,20340,33,200553,1834,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6066
W2_Q32,STRUCT,10,6,90,684,0,2465195,2851702,2923479,1333264503,36116,2564520,2954181,3023569,3074378,20480,162,1903969,3277,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6099
W2_Q01,ALGSTRUCT,11,6,90,684,0,136999,276850,301349,94978132,42815,201749,402949,418986,437430,20336,32,274847,1132,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6064
